# ROR Schema v2.1 to Schema.org SSSOM Mapping
# curie_map:
#   ROR: https://ror.org/
#   schema: https://schema.org/
#   skos: http://www.w3.org/2004/02/skos/core#
#   sssom: https://w3id.org/sssom/
#
# mapping_set_id: ror-v21-schema-org-mapping-v2.1.0
# mapping_set_version: 2.1.0
# mapping_set_title: ROR Schema v2.1 to Schema.org Mapping
# mapping_set_description: Comprehensive mappings between Research Organization Registry schema v2.1 fields and Schema.org properties, based on actual JSON schema definitions
# license: https://creativecommons.org/publicdomain/zero/1.0/
# creator_id: https://orcid.org/0000-0002-0465-1009
# mapping_date: 2024-09-03
# mapping_tool: Claude AI Assistant
# mapping_tool_version: 4.0


subject_id	subject_label	predicate_id	object_id	object_label	mapping_justification	author_id	confidence	comment
ROR:admin.last_modified.schema_version	Modification Schema Version	skos:relatedMatch	schema:version	version	Related mapping - schema version at modification	https://orcid.org/0000-0002-0465-1009	0.85	Schema version when record was last modified

ROR:types	Organization Types Array	skos:closeMatch	schema:additionalType	additionalType	Close mapping - organizational type categorization alignment	https://orcid.org/0000-0002-0465-1009	0.88	ROR provides specific organizational categorization
ROR:types.education	Education Type	skos:narrowMatch	schema:EducationalOrganization	EducationalOrganization	Narrow mapping - education type to specific schema.org class	https://orcid.org/0000-0002-0465-1009	0.92	Direct correspondence for educational institutions
ROR:types.funder	Funder Type	skos:exactMatch	schema:FundingAgency	FundingAgency	Semantic equivalence - both represent funding organizations	https://orcid.org/0000-0002-0465-1009	0.95	New in v2.0 - explicitly identifies funding agencies
ROR:types.healthcare	Healthcare Type	skos:narrowMatch	schema:MedicalOrganization	MedicalOrganization	Narrow mapping - healthcare to medical organization	https://orcid.org/0000-0002-0465-1009	0.88	Healthcare organizations map to medical organizations
ROR:types.company	Company Type	skos:narrowMatch	schema:Corporation	Corporation	Narrow mapping - company to corporation	https://orcid.org/0000-0002-0465-1009	0.90	Commercial organizations map to corporations
ROR:types.archive	Archive Type	skos:narrowMatch	schema:ArchiveOrganization	ArchiveOrganization	Narrow mapping - direct correspondence for archives	https://orcid.org/0000-0002-0465-1009	0.95	Archives and archival organizations
ROR:types.nonprofit	Nonprofit Type	skos:narrowMatch	schema:NGO	NGO	Narrow mapping - nonprofit to non-governmental organization	https://orcid.org/0000-0002-0465-1009	0.88	Nonprofit organizations typically map to NGOs
ROR:types.government	Government Type	skos:narrowMatch	schema:GovernmentOrganization	GovernmentOrganization	Narrow mapping - direct correspondence for government entities	https://orcid.org/0000-0002-0465-1009	0.95	Government organizations and agencies
ROR:types.facility	Facility Type	skos:narrowMatch	schema:ResearchOrganization	ResearchOrganization	Narrow mapping - research facilities to research organizations	https://orcid.org/0000-0002-0465-1009	0.85	Research facilities and infrastructures
ROR:types.other	Other Type	skos:broadMatch	schema:Organization	Organization	Broad mapping - generic other type to base organization class	https://orcid.org/0000-0002-0465-1009	0.80	Catch-all for organizations not fitting specific categories

ROR:locations	Organization Locations Array	skos:exactMatch	schema:address	address	Semantic equivalence - location information maps to addresses	https://orcid.org/0000-0002-0465-1009	0.88	Array of location objects with geographic details
ROR:locations.geonames_id	GeoNames ID	skos:relatedMatch	schema:identifier	identifier	Related mapping - geographic identifier for location	https://orcid.org/0000-0002-0465-1009	0.82	Integer identifier referencing GeoNames database
ROR:locations.geonames_details	GeoNames Details Object	skos:exactMatch	schema:address	address	Semantic equivalence - detailed geographic information	https://orcid.org/0000-0002-0465-1009	0.85	Nested object containing location metadata
ROR:locations.geonames_details.name	Location Name	skos:exactMatch	schema:addressLocality	addressLocality	Semantic equivalence - location name to locality	https://orcid.org/0000-0002-0465-1009	0.92	Name of the geographic location
ROR:locations.geonames_details.lat	Latitude	skos:exactMatch	schema:latitude	latitude	Semantic equivalence - direct correspondence for coordinates	https://orcid.org/0000-0002-0465-1009	0.98	Decimal latitude coordinate
ROR:locations.geonames_details.lng	Longitude	skos:exactMatch	schema:longitude	longitude	Semantic equivalence - direct correspondence for coordinates	https://orcid.org/0000-0002-0465-1009	0.98	Decimal longitude coordinate
ROR:locations.geonames_details.continent_code	Continent Code	skos:relatedMatch	schema:addressRegion	addressRegion	Related mapping - continent as broader geographic region	https://orcid.org/0000-0002-0465-1009	0.75	Two-letter continent codes (AF, AN, AS, EU, NA, OC, SA) - new in v2.1
ROR:locations.geonames_details.continent_name	Continent Name	skos:relatedMatch	schema:addressRegion	addressRegion	Related mapping - continent name as geographic region	https://orcid.org/0000-0002-0465-1009	0.75	Continent names (Africa, Antarctica, Asia, Europe, etc.) - new in v2.1
ROR:locations.geonames_details.country_code	Country Code	skos:exactMatch	schema:addressCountry	addressCountry	Semantic equivalence - ISO country code	https://orcid.org/0000-0002-0465-1009	0.95	Two-letter ISO country codes
ROR:locations.geonames_details.country_name	Country Name	skos:exactMatch	schema:addressCountry	addressCountry	Semantic equivalence - country name	https://orcid.org/0000-0002-0465-1009	0.92	Full country names
ROR:locations.geonames_details.country_subdivision_code	Country Subdivision Code	skos:exactMatch	schema:addressRegion	addressRegion	Semantic equivalence - state/province code	https://orcid.org/0000-0002-0465-1009	0.88	1-3 character subdivision codes - new in v2.1
ROR:locations.geonames_details.country_subdivision_name	Country Subdivision Name	skos:exactMatch	schema:addressRegion	addressRegion	Semantic equivalence - state/province name	https://orcid.org/0000-0002-0465-1009	0.90	State, province, or region names - new in v2.1

ROR:links	Organization Links Array	skos:exactMatch	schema:url	url	Semantic equivalence - external links and websites	https://orcid.org/0000-0002-0465-1009	0.82	Array of link objects with type and value
ROR:links.type	Link Type	skos:relatedMatch	schema:additionalProperty	additionalProperty	Related mapping - link types provide context	https://orcid.org/0000-0002-0465-1009	0.72	Enum values: website, wikipedia
ROR:links.value	Link URL	skos:exactMatch	schema:url	url	Semantic equivalence - actual URL string	https://orcid.org/0000-0002-0465-1009	0.95	URL string value for the link

ROR:external_ids	External Identifiers Array	skos:exactMatch	schema:sameAs	sameAs	Semantic equivalence - external IDs indicate same entity	https://orcid.org/0000-0002-0465-1009	0.90	Array of external identifier objects
ROR:external_ids.type	External ID Type	skos:relatedMatch	schema:additionalProperty	additionalProperty	Related mapping - identifier type provides context	https://orcid.org/0000-0002-0465-1009	0.78	Enum values: fundref, grid, isni, wikidata
ROR:external_ids.all	All External IDs	skos:exactMatch	schema:sameAs	sameAs	Semantic equivalence - all IDs for same entity	https://orcid.org/0000-0002-0465-1009	0.92	Array of all identifiers of this type
ROR:external_ids.preferred	Preferred External ID	skos:exactMatch	schema:sameAs	sameAs	Semantic equivalence - preferred identifier for cross-reference	https://orcid.org/0000-0002-0465-1009	0.90	Preferred identifier when multiple exist

ROR:relationships	Organization Relationships Array	skos:relatedMatch	schema:memberOf	memberOf	Related mapping - organizational relationships	https://orcid.org/0000-0002-0465-1009	0.75	Array of relationship objects to other organizations
ROR:relationships.type	Relationship Type	skos:relatedMatch	schema:parentOrganization	parentOrganization	Related mapping - parent relationship type	https://orcid.org/0000-0002-0465-1009	0.80	Enum: related, parent, child, successor, predecessor
ROR:relationships.type.parent	Parent Relationship	skos:exactMatch	schema:parentOrganization	parentOrganization	Semantic equivalence - direct parent relationship	https://orcid.org/0000-0002-0465-1009	0.95	Organization has parent organization
ROR:relationships.type.child	Child Relationship	skos:exactMatch	schema:subOrganization	subOrganization	Semantic equivalence - direct child relationship	https://orcid.org/0000-0002-0465-1009	0.95	Organization has child/subsidiary organization
ROR:relationships.type.related	Related Relationship	skos:relatedMatch	schema:affiliation	affiliation	Related mapping - general organizational affiliation	https://orcid.org/0000-0002-0465-1009	0.70	Related but not hierarchical relationship
ROR:relationships.type.successor	Successor Relationship	skos:relatedMatch	schema:replacer	replacer	Related mapping - succession indicates replacement	https://orcid.org/0000-0002-0465-1009	0.75	Organization succeeded by another organization
ROR:relationships.type.predecessor	Predecessor Relationship	skos:relatedMatch	schema:replacee	replacee	Related mapping - predecessor indicates being replaced	https://orcid.org/0000-0002-0465-1009	0.75	Organization preceded by another organization
ROR:relationships.id	Related Organization ID	skos:exactMatch	schema:identifier	identifier	Semantic equivalence - identifier of related organization	https://orcid.org/0000-0002-0465-1009	0.88	ROR ID of related organization
ROR:relationships.label	Related Organization Label	skos:exactMatch	schema:name	name	Semantic equivalence - name of related organization	https://orcid.org/0000-0002-0465-1009	0.90	Display name of related organization
